gndr,age_cat,eduyrs_cat,cntry,work_status,occupation,polscale,trust_cat,internet_use
1,56-70,9-12,AT,Autre,Agriculture/Pêche,Centre-gauche,Très élevée,Quotidiennement
2,41-55,16-20,AT,Employé,Professions intellectuelles,Gauche,Élevée,Quotidiennement
2,71+,13-15,AT,Autre,Professions intellectuelles,Centre-gauche,Élevée,Rarement
1,56-70,9-12,AT,Autre,Services/Vente,Gauche,Très élevée,Quotidiennement
2,56-70,16-20,AT,Employé,Cadres/Dirigeants,Centre-gauche,Faible,Quotidiennement
2,56-70,16-20,AT,Autre,Professions intellectuelles,Gauche,Très élevée,Quotidiennement
2,41-55,9-12,AT,Employé,Professions intellectuelles,Centre-gauche,Élevée,Quotidiennement
2,71+,<9,AT,Autre,Services/Vente,Centre-gauche,Très élevée,Rarement
2,41-55,16-20,AT,Employé,Employés administratifs,Centre-gauche,Très élevée,Quotidiennement
1,41-55,13-15,AT,Chômeur,Professions élémentaires,Centre-gauche,Très élevée,Quotidiennement
2,56-70,9-12,AT,Autre,Professions intermédiaires,Gauche,Faible,Quotidiennement
1,41-55,13-15,AT,Employé,Professions intellectuelles,Gauche,Très élevée,Quotidiennement
2,71+,9-12,AT,Autre,Services/Vente,Centre-droite,Faible,Régulièrement
1,26-40,9-12,AT,Chômeur,Professions intermédiaires,Centre-gauche,Faible,Quotidiennement
2,71+,13-15,AT,Autre,Agriculture/Pêche,Centre-droite,Très élevée,Rarement
1,71+,9-12,AT,Autre,Services/Vente,Centre-droite,Faible,Quotidiennement
1,41-55,13-15,AT,Employé,Employés administratifs,Droite,Très faible,Quotidiennement
2,41-55,9-12,AT,Employé,Professions intermédiaires,Centre-gauche,Élevée,Quotidiennement
2,56-70,9-12,AT,Autre,Employés administratifs,Centre-gauche,Faible,Quotidiennement
2,41-55,16-20,AT,Employé,Employés administratifs,Centre-gauche,Élevée,Quotidiennement
2,41-55,9-12,AT,Employé,Professions intellectuelles,Centre-droite,Élevée,Quotidiennement
2,41-55,<9,AT,Employé,Opérateurs/Assembleurs,Centre-gauche,Très faible,Quotidiennement
1,41-55,16-20,AT,Employé,Services/Vente,Centre-gauche,Très élevée,Quotidiennement
2,71+,<9,AT,Autre,Agriculture/Pêche,Centre-droite,Très élevée,Rarement
2,56-70,9-12,AT,Employé,Services/Vente,Centre-gauche,Élevée,Quotidiennement
2,56-70,9-12,AT,Autre,Cadres/Dirigeants,Centre-gauche,Élevée,Quotidiennement
2,41-55,9-12,AT,Employé,Professions élémentaires,Centre-droite,Très élevée,Quotidiennement
2,56-70,<9,AT,Employé,Agriculture/Pêche,Centre-gauche,Élevée,Quotidiennement
1,56-70,9-12,AT,Employé,Artisans/Métiers,Centre-droite,Élevée,Régulièrement
2,26-40,9-12,AT,Employé,Employés administratifs,Droite,Élevée,Quotidiennement
2,71+,9-12,AT,Autre,Services/Vente,Centre-gauche,Très faible,Rarement
2,26-40,9-12,AT,Employé,Services/Vente,Gauche,Très élevée,Quotidiennement
1,71+,16-20,AT,Autre,Professions intellectuelles,Gauche,Très élevée,Quotidiennement
2,26-40,13-15,AT,Employé,Professions intellectuelles,Centre-gauche,Élevée,Régulièrement
1,26-40,9-12,AT,Employé,Professions intermédiaires,Centre-droite,Élevée,Quotidiennement
1,56-70,9-12,AT,Autre,Professions élémentaires,Gauche,Élevée,Régulièrement
2,41-55,<9,AT,Employé,Professions élémentaires,Centre-gauche,Faible,Rarement
1,56-70,16-20,AT,Autre,Professions intermédiaires,Centre-gauche,Très élevée,Régulièrement
1,56-70,9-12,AT,Employé,Cadres/Dirigeants,Gauche,Très élevée,Quotidiennement
2,18-25,9-12,AT,Autre,Agriculture/Pêche,Centre-gauche,Élevée,Quotidiennement
1,26-40,13-15,AT,Employé,Cadres/Dirigeants,Centre-droite,Faible,Quotidiennement
2,71+,9-12,AT,Autre,Professions intermédiaires,Centre-gauche,Élevée,Rarement
2,18-25,9-12,AT,Employé,Professions élémentaires,Centre-gauche,Élevée,Quotidiennement
2,71+,<9,AT,Autre,Professions élémentaires,Centre-droite,Très élevée,Rarement
2,71+,<9,AT,Autre,Professions élémentaires,Centre-gauche,Très élevée,Rarement
1,41-55,13-15,AT,Employé,Artisans/Métiers,Centre-gauche,Très élevée,Quotidiennement
2,71+,9-12,AT,Autre,Employés administratifs,Centre-gauche,Faible,Quotidiennement
2,56-70,13-15,AT,Employé,Professions intermédiaires,Gauche,Élevée,Quotidiennement
1,71+,9-12,AT,Autre,Professions intermédiaires,Centre-droite,Faible,Quotidiennement
1,56-70,9-12,AT,Employé,Opérateurs/Assembleurs,Centre-droite,Élevée,Quotidiennement
2,71+,<9,AT,Autre,Services/Vente,Centre-gauche,Très élevée,Rarement
2,41-55,16-20,AT,Employé,Professions intellectuelles,Droite,Très élevée,Quotidiennement
1,41-55,9-12,AT,Employé,Artisans/Métiers,Centre-gauche,Élevée,Quotidiennement
1,56-70,13-15,AT,Employé,Artisans/Métiers,Gauche,Élevée,Quotidiennement
2,41-55,13-15,AT,Employé,Professions intellectuelles,Gauche,Très élevée,Quotidiennement
1,71+,9-12,AT,Autre,Artisans/Métiers,Gauche,Élevée,Rarement
